timestamp,roll,pitch,yaw
1582297542311653,2.40873,-0.317266,-2.23093
1582297542333599,2.41096,-0.320941,-2.23769
1582297542351490,2.41752,-0.323308,-2.24439
1582297542375425,2.42459,-0.32384,-2.24989
1582297542393375,2.43265,-0.322509,-2.25403
1582297542411335,2.44412,-0.31984,-2.25485
1582297542432343,2.45439,-0.31637,-2.25329
1582297542453420,2.46192,-0.313516,-2.2487
1582297542471176,2.46754,-0.312225,-2.24337
1582297542498289,2.47257,-0.30897,-2.23823
1582297542513109,2.47326,-0.307257,-2.2348
1582297542531582,2.47315,-0.305606,-2.2339
1582297542553956,2.47453,-0.304283,-2.23506
1582297542573364,2.47779,-0.306113,-2.23739
1582297542590850,2.48108,-0.306901,-2.24098
1582297542613794,2.48279,-0.30822,-2.24463
1582297542635736,2.484,-0.309197,-2.24959
1582297542650696,2.48549,-0.310744,-2.25509
1582297542673630,2.48874,-0.310996,-2.26062
1582297542701151,2.49017,-0.31018,-2.26522
1582297542711528,2.49214,-0.310279,-2.26955
1582297542733510,2.49879,-0.310402,-2.27373
1582297542753616,2.51059,-0.311024,-2.2757
1582297542778603,2.51202,-0.31037,-2.27654
1582297542793919,2.50967,-0.310214,-2.27845
1582297542813512,2.51329,-0.309923,-2.27936
1582297542831233,2.51972,-0.308104,-2.27951
1582297542853149,2.52025,-0.306401,-2.28012
1582297542874282,2.52121,-0.306307,-2.28096
1582297542890056,2.52568,-0.306036,-2.28108
1582297542912986,2.53183,-0.303537,-2.28117
1582297542934169,2.53132,-0.302728,-2.28285
1582297542956319,2.53454,-0.302894,-2.28511
1582297542973129,2.53839,-0.302804,-2.28767
1582297542993816,2.54491,-0.303241,-2.28971
1582297543009937,2.55092,-0.305762,-2.2898
1582297543032889,2.55406,-0.309582,-2.28864
1582297543055607,2.5562,-0.311792,-2.28704
1582297543070576,2.55389,-0.311515,-2.28607
1582297543092508,2.55183,-0.309869,-2.2871
1582297543114458,2.55061,-0.309002,-2.28807
1582297543130468,2.55511,-0.307206,-2.28852
1582297543152685,2.56017,-0.307372,-2.28818
1582297543174287,2.56936,-0.308144,-2.28754
1582297543190248,2.57255,-0.306486,-2.28709
1582297543212508,2.57115,-0.302652,-2.2885
1582297543234224,2.57149,-0.299839,-2.2915
1582297543249246,2.57673,-0.296004,-2.2934
1582297543273024,2.57893,-0.295189,-2.2928
1582297543294021,2.58032,-0.295605,-2.29207
1582297543310207,2.58203,-0.294798,-2.29175
1582297543333192,2.58113,-0.294532,-2.29157
1582297543353933,2.58498,-0.296479,-2.29105
1582297543370691,2.58405,-0.296675,-2.29049
1582297543392706,2.58349,-0.297278,-2.29043
1582297543413927,2.58884,-0.302331,-2.28937
1582297543430609,2.5848,-0.30332,-2.28731
1582297543452544,2.58349,-0.303425,-2.28632
1582297543475489,2.58393,-0.306781,-2.28496
1582297543490441,2.57781,-0.305951,-2.28322
1582297543520761,2.57714,-0.306175,-2.28224
1582297543536322,2.58077,-0.308981,-2.28063
1582297543549384,2.57649,-0.309907,-2.27874
1582297543573234,2.57297,-0.310007,-2.27931
1582297543595537,2.57864,-0.31126,-2.27941
1582297543609192,2.57943,-0.312936,-2.27769
1582297543633130,2.5739,-0.312474,-2.27644
1582297543656000,2.5721,-0.311026,-2.27729
1582297543669962,2.57233,-0.311634,-2.27824
1582297543692948,2.57054,-0.310357,-2.27715
1582297543715220,2.56787,-0.311021,-2.27618
1582297543736783,2.56764,-0.311777,-2.27538
1582297543752742,2.56337,-0.312473,-2.2743
1582297543775160,2.55862,-0.312429,-2.2741
1582297543790016,2.55982,-0.312903,-2.27407
1582297543814582,2.56062,-0.314311,-2.27282
1582297543835528,2.55689,-0.315089,-2.27046
1582297543849484,2.55238,-0.315305,-2.26912
1582297543872525,2.55241,-0.315772,-2.26934
1582297543895422,2.54843,-0.316448,-2.26886
1582297543916524,2.54339,-0.316374,-2.26832
1582297543932703,2.54302,-0.3164,-2.2685
1582297543955201,2.54297,-0.317255,-2.26919
1582297543976328,2.54356,-0.316479,-2.26851
1582297543993099,2.54167,-0.317398,-2.26766
1582297544015040,2.54215,-0.318552,-2.2674
1582297544035982,2.54129,-0.318877,-2.26657
1582297544052954,2.54025,-0.319974,-2.26576
1582297544075935,2.54074,-0.320682,-2.26481
1582297544096859,2.53686,-0.320669,-2.26385
1582297544112784,2.53373,-0.319732,-2.26362
1582297544135716,2.53087,-0.319443,-2.26385
1582297544164109,2.52839,-0.318904,-2.26357
1582297544172620,2.52862,-0.319157,-2.26242
1582297544195617,2.52753,-0.320076,-2.26142
1582297544216692,2.52713,-0.319978,-2.25993
1582297544232458,2.52423,-0.320379,-2.25889
1582297544255399,2.52979,-0.319738,-2.25691
1582297544276340,2.53355,-0.319857,-2.25355
1582297544292495,2.53455,-0.320013,-2.25061
1582297544315292,2.53123,-0.320677,-2.24778
1582297544338173,2.52507,-0.31874,-2.2455
1582297544353147,2.52115,-0.317333,-2.24393
1582297544375089,2.51666,-0.31708,-2.24187
1582297544398020,2.51162,-0.316061,-2.24096
1582297544412981,2.50961,-0.315802,-2.24027
1582297544434978,2.50946,-0.316302,-2.23965
1582297544458128,2.51055,-0.315589,-2.23839
1582297544472883,2.51128,-0.315892,-2.23682
1582297544494982,2.51011,-0.316663,-2.23592
1582297544517735,2.50648,-0.31674,-2.23564
1582297544532775,2.50454,-0.316628,-2.23616
1582297544555600,2.50399,-0.317406,-2.23612
1582297544577537,2.50232,-0.317873,-2.23634
1582297544592493,2.49945,-0.317953,-2.23638
1582297544615434,2.49671,-0.317337,-2.23677
1582297544637518,2.49251,-0.317278,-2.23753
1582297544652418,2.48802,-0.31894,-2.23847
1582297544675289,2.47837,-0.32488,-2.24175
1582297544698210,2.46911,-0.328219,-2.24541
1582297544720163,2.46229,-0.329681,-2.24777
1582297544735354,2.45725,-0.332179,-2.24728
1582297544758084,2.45647,-0.335449,-2.24527
1582297544779243,2.45834,-0.33975,-2.24227
1582297544794953,2.46344,-0.342215,-2.23936
1582297544817947,2.46423,-0.342358,-2.23645
1582297544831860,2.46623,-0.340643,-2.23416
1582297544854791,2.46704,-0.339598,-2.23168
1582297544878067,2.46347,-0.340566,-2.22841
1582297544898874,2.45959,-0.342321,-2.22468
1582297544915635,2.45439,-0.344378,-2.22123
1582297544937574,2.44931,-0.345408,-2.21794
1582297544958714,2.44571,-0.34441,-2.21584
1582297544975474,2.44147,-0.344298,-2.21415
1582297544997468,2.43649,-0.346443,-2.21189
1582297545018412,2.43184,-0.347792,-2.21011
1582297545035382,2.42531,-0.347339,-2.20968
1582297545057460,2.41965,-0.347558,-2.21071
1582297545079353,2.41633,-0.348369,-2.20979
1582297545095418,2.41514,-0.349376,-2.20741
1582297545118125,2.41077,-0.352795,-2.20583
1582297545139399,2.40572,-0.357764,-2.2043
1582297545154993,2.40259,-0.363069,-2.19902
1582297545177977,2.39944,-0.366409,-2.19019
1582297545199078,2.38798,-0.364462,-2.18439
1582297545215032,2.36444,-0.359932,-2.17279
1582297545237767,2.34141,-0.345247,-2.15986
1582297545258908,2.31503,-0.322803,-2.14593
1582297545274667,2.29954,-0.282115,-2.13697
1582297545297613,2.26508,-0.230394,-2.12531
1582297545320546,2.20225,-0.167714,-2.10616
1582297545341905,2.11513,-0.0935632,-2.08665
1582297545357447,2.01947,-0.0136767,-2.07161
1582297545380454,1.95984,0.0633415,-2.06167
1582297545394352,1.90599,0.13396,-2.05221
1582297545417478,1.84012,0.189779,-2.04241
1582297545448269,1.78559,0.222015,-2.03046
1582297545461304,1.76666,0.178028,-2.01231
1582297545478132,1.86003,0.0501093,-1.9767
1582297545506287,1.95904,-0.146101,-1.93486
1582297545521129,2.01939,-0.411896,-1.91526
1582297545529985,2.10529,-0.507265,-1.96276
1582297545552933,1.99371,-0.447964,-2.01665
1582297545567060,1.88299,-0.449824,-2.00975
1582297545589826,1.86413,-0.44458,-2.01464
1582297545620364,1.90054,-0.451894,-2.00365
1582297545641823,1.9261,-0.450986,-1.97898
1582297545657653,1.92405,-0.449176,-1.97472
1582297545680584,1.93638,-0.445687,-1.95393
1582297545701724,1.9633,-0.421967,-1.92001
1582297545717485,1.99073,-0.389949,-1.88896
1582297545740429,2.01075,-0.356318,-1.86578
1582297545761540,2.02486,-0.323003,-1.84135
1582297545777373,2.03136,-0.289549,-1.81853
1582297545800264,2.03776,-0.254224,-1.79866
1582297545829380,2.0421,-0.209397,-1.78941
1582297545837955,2.04435,-0.166663,-1.79121
1582297545868080,2.02815,-0.119768,-1.79236
1582297545881262,1.99442,-0.0695135,-1.79697
1582297545898008,1.97405,-0.024201,-1.80365
1582297545920362,1.96663,0.0100652,-1.80733
1582297545940938,1.96213,0.0375434,-1.80742
1582297545958077,1.95968,0.0651542,-1.80829
1582297545979973,1.94967,0.0863543,-1.81408
1582297546001773,1.94403,0.0987584,-1.81974
1582297546017684,1.94719,0.111224,-1.82243
1582297546040620,1.9458,0.123643,-1.82409
1582297546064601,1.93335,0.134785,-1.82847
