timestamp,x,y,z,w
1582297617453541,-0.377075,0.803528,0.346924,-0.302856
1582297617471107,-0.376892,0.803772,0.34668,-0.302734
1582297617490024,-0.376831,0.803772,0.34668,-0.302856
1582297617513378,-0.376831,0.803772,0.34668,-0.302856
1582297617530915,-0.376648,0.803711,0.347168,-0.302795
1582297617550052,-0.376343,0.803589,0.347656,-0.302917
1582297617572879,-0.37616,0.80365,0.347656,-0.302856
1582297617591761,-0.376343,0.804077,0.346741,-0.302551
1582297617610718,-0.376404,0.804443,0.346191,-0.302246
1582297617628189,-0.376221,0.804626,0.346008,-0.302185
1582297617650596,-0.376221,0.804871,0.345276,-0.302307
1582297617670991,-0.377014,0.805481,0.342957,-0.302307
1582297617692978,-0.378845,0.806519,0.338196,-0.302734
1582297617710440,-0.381714,0.8078,0.331543,-0.303101
1582297617730590,-0.38501,0.809021,0.324829,-0.302856
1582297617752478,-0.388245,0.810181,0.319763,-0.300903
1582297617770285,-0.389893,0.810974,0.319031,-0.297546
1582297617790530,-0.388672,0.810242,0.322754,-0.297058
1582297617813160,-0.38623,0.808899,0.325562,-0.300781
1582297617831016,-0.387512,0.809265,0.323059,-0.300964
1582297617850227,-0.389404,0.810059,0.319519,-0.300049
1582297617873121,-0.390503,0.810303,0.317139,-0.300476
1582297617890959,-0.391296,0.810608,0.315186,-0.30072
1582297617913178,-0.392822,0.810974,0.312988,-0.30011
1582297617933125,-0.393677,0.811218,0.311462,-0.299866
1582297617950799,-0.393738,0.811035,0.311096,-0.300598
1582297617971158,-0.393921,0.810974,0.310852,-0.300842
1582297617987975,-0.394409,0.810913,0.310486,-0.30072
1582297618010850,-0.39447,0.81073,0.31073,-0.300842
1582297618031585,-0.394653,0.810486,0.310913,-0.301086
1582297618052714,-0.394897,0.810303,0.310913,-0.301331
1582297618070476,-0.394958,0.81012,0.310913,-0.301697
1582297618091798,-0.39502,0.809937,0.311096,-0.302002
1582297618108375,-0.395325,0.809814,0.310974,-0.302063
1582297618130312,-0.395569,0.809692,0.310913,-0.302002
1582297618151459,-0.395935,0.80957,0.310974,-0.30188
1582297618167460,-0.395996,0.809448,0.311157,-0.301941
1582297618190607,-0.396179,0.809326,0.311096,-0.302063
1582297618211293,-0.396118,0.809326,0.311096,-0.302063
1582297618227335,-0.39624,0.809204,0.311096,-0.302307
1582297618256978,-0.39624,0.809204,0.311096,-0.302307
1582297618270994,-0.39624,0.809021,0.31134,-0.30249
1582297618286962,-0.396301,0.808777,0.311768,-0.302612
1582297618309884,-0.396301,0.808777,0.311768,-0.302612
1582297618331968,-0.396301,0.808777,0.311768,-0.302612
1582297618347737,-0.396423,0.808777,0.311768,-0.30249
1582297618371053,-0.396423,0.808594,0.312012,-0.302673
1582297618392611,-0.396545,0.808533,0.312073,-0.302734
1582297618407575,-0.396545,0.808533,0.312073,-0.302734
1582297618429716,-0.396729,0.808533,0.31189,-0.302673
1582297618452515,-0.396912,0.808472,0.311707,-0.302673
1582297618467414,-0.396912,0.808472,0.311707,-0.302673
1582297618489405,-0.396912,0.808472,0.311707,-0.302673
1582297618512477,-0.396912,0.808472,0.311707,-0.302734
1582297618533289,-0.396912,0.808472,0.311707,-0.302734
1582297618550190,-0.396912,0.808472,0.311646,-0.302673
1582297618572129,-0.396912,0.808472,0.311646,-0.302673
1582297618587095,-0.396912,0.808472,0.311646,-0.302673
1582297618610028,-0.396912,0.808533,0.311646,-0.302673
1582297618631968,-0.396973,0.808594,0.31134,-0.302734
1582297618646936,-0.396973,0.808655,0.310974,-0.302795
1582297618670161,-0.396973,0.808716,0.310974,-0.302795
1582297618691813,-0.396973,0.808716,0.310974,-0.302795
1582297618706768,-0.397034,0.808716,0.310974,-0.302795
1582297618729917,-0.396973,0.808716,0.310974,-0.302795
1582297618752696,-0.396973,0.808716,0.310913,-0.302795
1582297618766867,-0.39679,0.808716,0.310974,-0.302979
1582297618789552,-0.39679,0.808716,0.310974,-0.302979
1582297618812498,-0.396545,0.808777,0.310913,-0.303162
1582297618833666,-0.396423,0.80896,0.310547,-0.303162
1582297618849560,-0.396362,0.809082,0.310303,-0.303223
1582297618872325,-0.396362,0.809082,0.310303,-0.303223
1582297618893731,-0.396362,0.809143,0.310242,-0.303284
1582297618917208,-0.396301,0.809204,0.309937,-0.303406
1582297618932401,-0.39624,0.809204,0.309875,-0.303406
1582297618953310,-0.396057,0.809204,0.309998,-0.303589
1582297618970130,-0.396057,0.809204,0.309998,-0.303589
1582297618992012,-0.396057,0.809204,0.309998,-0.30365
1582297619014003,-0.395874,0.809143,0.310181,-0.303955
1582297619029960,-0.39563,0.80896,0.310425,-0.304382
1582297619052071,-0.39563,0.809021,0.310364,-0.304382
1582297619073864,-0.395752,0.809143,0.309875,-0.304321
1582297619090747,-0.395752,0.809143,0.309875,-0.304321
