timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297429047492,-2,-2,-2,-4,-1,-1,-2,-3
1582297429054305,0,-2,-2,-1,0,0,-1,0
1582297429054305,-2,0,-2,-1,1,-1,0,0
1582297429069232,1,-1,0,-2,-1,-1,-1,1
1582297429069232,1,0,1,-1,0,0,0,0
1582297429076214,-1,0,-1,0,-1,-1,-2,0
1582297429076214,-2,-1,-1,0,0,0,-3,-2
1582297429093167,-1,-1,0,-2,0,-1,0,0
1582297429093167,-1,-1,-2,1,-1,-2,1,1
1582297429099151,-1,-3,0,-3,-1,0,-1,2
1582297429099151,1,1,-1,-1,1,-1,-1,0
1582297429108532,-1,1,-1,0,-1,0,-1,-1
1582297429108532,-1,-1,0,-3,-1,0,-1,-1
1582297429114109,0,0,0,-3,-3,-1,1,0
1582297429114109,0,-2,0,-2,-1,0,-1,-3
1582297429129070,1,-2,-1,-3,0,-2,-2,1
1582297429129070,0,-1,0,0,0,0,1,-3
1582297429138053,-1,1,-2,-1,0,-2,0,0
1582297429138053,-3,-4,-3,-1,-3,0,-1,1
1582297429145483,0,3,-1,1,-1,0,-1,0
1582297429145483,-3,0,-1,1,0,-1,-4,-1
1582297429158998,1,-1,0,-2,-1,0,-1,-2
1582297429158998,-1,-2,-2,-1,-1,0,-2,1
1582297429168033,-2,-2,-1,-2,-2,0,0,-1
1582297429168033,0,-3,-2,-2,0,-1,0,1
1582297429174147,-2,-1,-1,-1,0,-1,-1,-1
1582297429174147,0,0,-1,-1,-1,-3,-3,-2
1582297429189267,-2,0,-2,0,-1,1,-2,-1
1582297429189267,-1,-1,0,0,-1,-1,-1,0
1582297429196124,0,-2,-1,1,0,0,1,-2
1582297429196124,-3,1,1,0,0,0,-3,-1
1582297429204979,0,-1,-2,0,0,-3,-2,-1
1582297429204979,-1,-1,0,-2,-2,-2,0,-2
1582297429219010,-1,-1,0,-1,-2,-1,-1,-1
1582297429219010,-2,-1,-1,-1,0,0,-1,-1
1582297429227831,0,-3,-1,-1,-1,-2,0,-1
1582297429227831,-2,2,0,-1,1,-1,-2,-3
1582297429233795,1,3,-1,0,0,0,0,0
1582297429233795,2,0,1,1,0,-1,1,0
1582297429249235,-1,0,-1,-2,-1,0,-1,0
1582297429249235,0,-4,-2,-2,-2,-2,1,-2
1582297429256730,-1,-1,-2,-2,-1,-2,-4,-2
1582297429256730,0,-1,-1,-1,0,-1,0,-2
1582297429265706,-1,1,0,-1,1,2,-2,-2
1582297429265706,0,0,0,1,0,-1,-2,0
1582297429279722,0,0,0,-1,-1,-2,-2,1
1582297429279722,0,0,0,-1,-1,-3,1,1
1582297429287646,0,0,-2,-2,-1,-3,0,-2
1582297429287646,-1,1,-3,-2,0,1,1,0
1582297429293636,1,-2,1,-2,-2,0,0,-4
1582297429293636,0,-1,0,-1,0,0,-1,-1
1582297429308596,-1,-3,0,0,-3,-1,-1,-1
1582297429308596,-1,0,-1,-2,-1,-1,-2,-3
1582297429316617,-2,1,-3,0,0,-1,1,-2
1582297429316617,-2,-2,-1,0,-1,-1,-2,-1
1582297429325560,1,-2,0,0,0,-1,-2,0
1582297429325560,1,0,-1,1,-2,-2,-1,1
1582297429338708,-2,-1,1,-1,-1,-1,0,1
1582297429338708,0,0,-2,-3,-1,-1,-1,-3
1582297429347493,-3,1,0,-2,-1,0,-1,-2
1582297429347493,0,-1,1,-1,1,-1,0,-2
1582297429361497,-1,-2,-1,-3,-1,-1,-1,0
1582297429361497,-3,-1,-1,0,-1,-1,-1,0
1582297429368481,-1,0,-1,0,-1,0,-1,0
1582297429368481,-1,-2,-2,0,-2,-1,2,-2
1582297429385440,1,-1,-2,-1,0,0,0,-2
1582297429385440,2,-1,0,-1,-2,-1,-2,0
1582297429386659,0,-1,-2,-1,-1,1,0,2
1582297429386659,-2,-3,-2,-1,-2,0,-1,0
1582297429398651,-1,-1,0,-1,0,-1,0,-2
1582297429398651,-2,-1,-3,0,-1,-1,-1,-1
1582297429407731,-1,0,0,0,0,0,0,-2
1582297429407731,-1,1,-1,-2,-1,-1,-3,-1
1582297429422376,-3,0,-2,-1,-1,0,-2,0
1582297429422376,0,1,-1,-2,-1,-1,3,0
1582297429428296,0,0,0,-2,0,-3,-1,-1
1582297429428296,1,-1,-2,-3,0,-2,0,0
1582297429445481,-2,-5,0,2,-3,0,-1,0
1582297429445481,-2,-5,0,-1,-1,0,-1,-1
1582297429446221,-1,0,-1,-1,0,-2,0,0
1582297429446221,0,0,-2,-2,-1,1,0,1
1582297429459188,-2,0,0,0,-2,-2,-2,0
1582297429459188,-2,-2,1,-1,0,-1,-1,-1
1582297429468190,-1,-1,-1,-1,-1,-1,0,0
1582297429468190,-1,-2,0,0,0,-1,-1,1
1582297429482327,-2,0,-2,-1,0,0,-2,-1
1582297429482327,-1,-2,0,-1,-1,-2,-1,-1
1582297429489249,-2,-1,-3,-1,0,-2,0,1
1582297429489249,-2,-2,-3,-2,0,0,-2,-2
1582297429505266,1,1,0,-2,0,-2,-1,1
1582297429505266,-1,0,0,-1,-2,-2,0,-1
1582297429507060,-1,-2,0,0,-1,-1,-2,-1
1582297429507060,-1,0,-1,2,0,-1,-1,0
1582297429519470,-1,-3,-2,-3,0,-3,0,2
1582297429519470,0,-2,0,-3,-1,0,-1,-2
1582297429535267,0,-2,-1,-1,-1,-2,-1,-4
1582297429535267,1,-1,0,0,-1,-1,0,0
1582297429541970,0,-2,0,0,0,-1,-1,-1
1582297429541970,0,-2,0,-2,0,-1,-2,3
1582297429548994,-1,-3,-2,-1,-1,0,0,0
1582297429548994,-2,0,2,-3,-1,-1,-2,-2
1582297429565115,-1,0,-1,-2,-2,-1,0,-3
1582297429565115,0,-2,0,-1,0,-1,0,-1
1582297429566902,2,-1,-1,1,-2,0,0,-2
1582297429566902,0,-2,-1,-1,0,-2,-1,-1
1582297429578980,-3,0,0,-1,-1,-1,-2,1
1582297429578980,0,1,-2,0,0,1,-1,-2
1582297429587844,-1,-2,-1,-3,-2,-1,-1,1
1582297429587844,-3,-1,-2,-1,0,-1,-1,2
1582297429602328,-1,-1,1,-1,-2,1,-1,-2
1582297429602328,0,0,-2,1,-2,-1,0,0
1582297429608988,1,0,-1,-1,0,-1,0,0
1582297429608988,-1,-2,-2,0,-2,-2,-1,0
1582297429624945,0,1,-1,0,0,-2,0,0
1582297429624945,-1,-2,-2,-1,-1,-1,0,-1
1582297429626740,-1,-2,-1,-1,-1,-1,-2,0
1582297429626740,1,1,-1,-1,-2,1,-2,-3
1582297429654669,-4,0,-1,-1,1,-1,-1,0
1582297429654669,6,3,2,1,-1,0,-1,-1
1582297429656657,-2,1,-1,-2,0,-1,-1,-2
1582297429656657,0,-2,-2,-1,0,-3,2,2
1582297429669631,0,-22,-11,-7,-5,-2,-7,-10
1582297429669631,-31,30,4,1,1,2,0,-27
1582297429671632,-5,-8,6,4,0,0,-1,4
1582297429671632,4,22,12,3,4,1,-1,-4
1582297429692797,22,-4,-8,-1,-2,-2,2,16
1582297429692797,3,-2,0,-3,-2,-3,1,5
1582297429693562,5,3,4,2,0,0,-2,-2
1582297429693562,-43,15,5,2,-2,1,8,6
1582297429714644,-10,-32,-2,0,0,-1,-1,10
1582297429714644,1,22,-13,-4,11,-2,3,21
1582297429716499,-21,-30,-34,-12,-12,-11,-22,-58
1582297429716499,34,34,30,6,7,6,0,-13
1582297429729570,-13,2,5,0,-12,1,44,56
1582297429729570,-15,10,9,3,-4,1,-21,-34
1582297429736444,35,-6,-5,-2,0,-9,7,77
1582297429736444,2,-9,-12,-5,-2,-5,-29,-24
1582297429752532,-15,2,0,-1,2,9,-5,-10
1582297429752532,-3,-17,-6,0,4,5,3,-3
1582297429754399,-48,2,-2,-9,-14,-20,-6,-25
1582297429754399,66,-17,-17,-6,-11,-3,3,27
1582297429775341,-9,18,5,0,2,0,-4,-19
1582297429775341,7,-23,3,4,1,-2,2,14
1582297429776344,-3,19,14,7,9,12,2,-4
1582297429776344,-6,-12,-9,-4,-3,-1,9,8
1582297429788306,11,8,-2,-1,-1,-6,-13,-16
1582297429788306,3,-14,-9,-2,-1,1,8,2
1582297429805353,4,12,6,2,1,8,0,-4
1582297429805353,-12,2,4,1,2,-3,7,-8
1582297429812361,-18,-7,-6,0,1,-7,0,-6
1582297429812361,15,-4,-4,-5,-9,-10,-22,2
1582297429814237,9,-2,1,1,1,5,5,10
1582297429814237,-21,-16,-11,-4,-2,-1,0,-10
1582297429835181,-2,4,3,-1,-1,3,-4,-10
1582297429835181,2,-1,2,2,-3,-4,9,8
1582297429837176,-11,-13,-5,-2,-2,-9,-4,-7
1582297429837176,-11,-2,-4,-2,4,7,2,-4
1582297429848264,3,1,-5,-2,1,8,2,-12
1582297429848264,9,0,14,1,-3,-3,-5,-2
1582297429857122,19,14,0,2,3,-2,1,1
1582297429857122,-18,-32,-16,-5,-2,7,0,-9
1582297429872980,18,24,12,4,0,-14,-13,9
1582297429872980,-11,-13,-14,-5,-4,3,0,0
1582297429874077,4,3,5,3,1,-1,0,-5
1582297429874077,-9,-9,1,-1,-1,-7,-4,12
1582297429895025,7,-9,-4,-2,2,2,1,-1
1582297429895025,3,13,1,-1,-3,-5,1,-2
1582297429896147,-13,-11,-4,-6,-3,11,4,-8
1582297429896147,2,5,-4,-1,-2,-1,-4,-6
1582297429909001,1,3,4,2,1,3,-2,-1
1582297429909001,-4,-5,-1,-2,-1,-4,-1,1
1582297429917964,4,0,-2,-5,-2,-2,2,1
1582297429917964,-8,-2,-2,-3,-3,-7,-7,1
1582297429932973,4,-4,-6,-4,0,6,2,-1
1582297429932973,-9,-3,-1,3,0,0,-1,-7
1582297429934357,7,4,2,2,0,1,3,0
1582297429934357,-3,2,2,-5,-1,-4,-2,1
1582297429954965,-2,-4,-2,5,0,-6,-2,-6
1582297429954965,-2,-8,-3,-5,0,0,0,0
1582297429956859,13,9,3,1,0,2,-1,7
1582297429956859,-8,-7,-14,-1,-3,-6,-1,3
1582297429969007,-7,2,23,6,5,1,1,-1
1582297429969007,9,0,1,-4,-2,5,2,2
1582297429977805,-3,-1,-3,3,1,-4,-1,0
1582297429977805,2,2,-1,9,-7,-2,3,1
1582297429992768,3,-6,-9,-1,-3,1,-3,-2
1582297429992768,-4,-5,-8,-23,3,0,-1,2
1582297429993755,-10,-6,0,-6,-1,0,-4,3
1582297429993755,7,3,-3,-5,0,2,7,1
1582297430014838,-13,-5,-3,9,-9,0,2,-15
1582297430014838,7,4,7,10,2,-4,-6,5
1582297430016819,-2,-2,-8,-4,-1,0,-3,-6
1582297430016819,1,-4,0,0,2,0,1,-1
1582297430028920,-3,4,-1,-2,-1,-3,-1,8
1582297430028920,-4,-2,-8,-9,-6,1,5,4
1582297430037645,0,0,6,6,3,2,2,-4
1582297430037645,7,3,8,5,-1,-4,-4,-1
