timestamp,x,y,z
1582293988397133,-0.125,-0.625,-0.25
1582293988416233,-0.25,-0.8125,-0.4375
1582293988433849,-0.4375,-0.6875,-0.8125
1582293988456786,-1.0625,-0.875,-0.625
1582293988476854,-1.1875,-0.9375,-0.5
1582293988494684,-1.0625,-0.625,-1.5625
1582293988516690,-1.875,-0.9375,-1.25
1582293988536899,-2.125,-0.625,-1.3125
1582293988553528,-1.75,-0.25,-1.4375
1582293988582555,-1.3125,-0.375,-0.6875
1582293988597410,-0.5,-0.5,-0.6875
1582293988613656,-0.4375,-0.5,-0.5625
1582293988636307,-0.625,-0.5,-0.125
1582293988657306,-0.3125,-0.1875,-0.0625
1582293988673698,-0.125,0.0625,0.4375
1582293988696156,0.625,-0.125,0.25
1582293988717329,-0.0625,-0.125,0.0625
1582293988739441,-0.875,-0.3125,0.125
1582293988755987,-0.75,-0.1875,-0.25
1582293988777137,-0.0625,-0.1875,-0.1875
1582293988793108,-0.125,-0.3125,-0.3125
1582293988816112,-0.4375,-0.3125,-0.5
1582293988836814,-0.6875,-0.1875,-0.1875
1582293988853724,0.125,-0.375,-0.375
1582293988875724,0.25,-0.25,-0.1875
1582293988897461,0.25,-0.25,-0.25
1582293988913626,-0.125,0.0625,-0.125
1582293988935566,-0.375,0.25,0.125
1582293988956451,-0.125,0.3125,0.375
1582293988973404,0.25,0.1875,0.0625
1582293988995410,0.375,-0.1875,0.0625
1582293989017525,0.6875,-0.125,0.0625
1582293989032457,0.8125,0,-0.0625
1582293989056182,0.3125,0.0625,0.0625
1582293989078123,-0.25,0.375,0.0625
1582293989093086,-0.25,0.4375,0.0625
1582293989116022,0,0.375,0.125
1582293989137969,-0.1875,0.125,0.375
1582293989153227,0.0625,0,0.3125
1582293989176099,0.125,-0.25,0.1875
1582293989198800,0.0625,-0.5625,0.5
1582293989213296,-0.0625,-0.375,0.375
1582293989235708,-0.0625,-0.1875,0.375
1582293989258640,-0.125,0.125,0.375
1582293989272608,-0.4375,0.25,0.25
1582293989295753,-0.25,0.3125,0.0625
1582293989318515,-0.4375,0.0625,-0.0625
1582293989333461,-0.375,0.0625,-0.25
1582293989355535,-0.3125,0.0625,-0.25
1582293989378376,-0.375,0.125,-0.125
1582293989392495,-0.1875,0,-0.0625
1582293989416219,0.0625,-0.1875,-0.0625
1582293989438207,0.3125,-0.375,0.125
1582293989453120,0.6875,-0.125,0.25
1582293989482252,0.4375,0,0.25
1582293989497999,0.0625,-0.125,-0.0625
1582293989512961,-0.75,-0.25,-0.125
1582293989535945,-0.875,-0.4375,-0.3125
1582293989558068,-0.4375,-0.375,-0.375
1582293989579790,0,-0.0625,-0.4375
1582293989595739,0.125,-0.0625,0
1582293989618677,0.1875,-0.375,0.0625
1582293989639819,0.3125,-0.375,0.25
1582293989655808,0.625,-0.375,0.25
1582293989684653,1,-0.3125,0.3125
1582293989699609,0.8125,-0.25,0.5
1582293989715587,0.125,-0.125,0.4375
1582293989738403,0,-0.0625,0.1875
1582293989759495,0.1875,-0.0625,0.1875
1582293989776261,0.25,0.0625,-0.125
1582293989798201,0.0625,0.1875,0
1582293989819200,-0.125,0.3125,-0.125
1582293989843519,0.0625,0.375,-0.1875
1582293989858039,0,0.25,-0.0625
1582293989879311,0.0625,0.0625,-0.0625
1582293989895955,0.125,-0.1875,0
1582293989918069,0.0625,-0.3125,0.0625
1582293989939893,0.5,-0.3125,0.0625
1582293989956772,0.6875,-0.25,0.1875
1582293989978728,0.4375,-0.3125,0
1582293990000657,-0.375,-0.5625,-0.1875
1582293990015617,-0.0625,-0.8125,0.25
1582293990044750,0.5,-0.625,-0.0625
1582293990060939,0.125,-0.3125,-0.4375
1582293990075654,-0.3125,-0.25,-0.375
1582293990098445,-0.8125,-0.4375,-0.3125
1582293990127473,-0.0625,-0.3125,-0.0625
1582293990136293,0.4375,-0.4375,-0.1875
1582293990158240,0.125,-0.5625,-0.3125
1582293990181171,-0.1875,-0.25,-0.3125
1582293990195237,-0.3125,0,-0.1875
1582293990218073,0.125,0.25,-0.125
1582293990241274,0.125,0.0625,-0.375
1582293990255373,-0.25,-0.0625,-0.125
1582293990278436,-0.125,-0.0625,-0.3125
1582293990301045,0.1875,0.0625,-0.1875
1582293990314901,0.3125,0.0625,-0.125
1582293990338750,0.3125,0.0625,-0.125
1582293990360697,0.25,-0.0625,-0.1875
1582293990374851,0.125,-0.25,-0.125
1582293990398590,0.125,-0.0625,-0.25
1582293990420537,0.0625,-0.25,-0.3125
1582293990435491,0,-0.375,-0.1875
1582293990458748,0,-0.3125,-0.375
1582293990480370,0,-0.1875,-0.5625
1582293990502503,-0.3125,0.0625,-0.3125
1582293990518275,-0.9375,0.0625,-0.375
1582293990541250,-1,-0.1875,-0.4375
1582293990562162,-0.5,-0.25,-0.3125
1582293990578112,0.0625,-0.0625,-0.375
1582293990601049,0.125,0,-0.125
1582293990622198,0.3125,0.125,-0.0625
1582293990638358,0.125,-0.0625,0.125
1582293990660932,0.4375,-0.1875,0.25
1582293990689873,0.8125,-0.125,0.25
1582293990698791,0.5625,0.125,0.375
1582293990720731,0.4375,0.125,0.375
1582293990741915,0.125,-0.25,0.3125
1582293990758676,0.6875,-0.8125,-0.0625
1582293990780845,0.125,-0.6875,-0.125
1582293990801716,0.25,-1.0625,0
1582293990818518,0.25,-0.5625,0.0625
1582293990840598,0.375,0.125,-0.0625
1582293990862362,0.25,-0.375,-0.0625
1582293990878312,0.0625,-0.4375,-0.4375
1582293990901245,-0.5,-0.375,-0.5625
1582293990922381,-0.375,-0.1875,-0.5625
1582293990938145,-0.375,0.1875,-0.75
